# Temps [s]	T1 [K]          T2 [K]
0.000000e+00	3.321566e+02	4.340203e+02
1.700000e-01	3.013489e+02	3.299359e+02
3.400000e-01	3.154852e+02	3.718301e+02
5.100000e-01	2.710066e+02	3.328353e+02
6.800000e-01	2.265946e+02	2.854428e+02
8.500000e-01	2.875566e+02	2.224948e+02
1.020000e+00	2.154837e+02	2.622302e+02
1.190000e+00	2.262366e+02	3.047014e+02
1.360000e+00	2.175871e+02	3.466145e+02
1.530000e+00	2.336673e+02	4.022022e+02
1.700000e+00	2.271517e+02	4.273263e+02
1.870000e+00	2.275063e+02	4.913872e+02
2.040000e+00	2.448111e+02	5.250066e+02
2.210000e+00	2.460045e+02	5.666204e+02
# Création : Jeudi 8 aout 2015, 13:19:12
